"","Provincia","Superficie (km2)","Población2012","Población2013","Densidad2012","Densidad20122013",""
"","Álava","3,032.40","322,557","321,417","106.37","26.8",""
"","Albacete","14,925.84","402,837","400,007","26.99","334.5",""
"","Alicante/Alacant","5,816.53","1,943,910","1,945,642","334.2","79.7",""
"","Almería","8,774.15","704,219","699,329","80.26","100.75",""
"","Asturias","10,602.44","1,077,360","1,068,165","101.61","20.97",""
"","Ávila","8,049.92","171,265","168,825","21.28","31.87",""
"","Badajoz","21,766.28","694,533","693,729","31.91","222.71",""
"","Baleares","4,991.66","1,119,439","1,111,674","224.26","716.98",""
"","Barcelona","7,728.17","5,552,050","5,540,925","718.42","25.98",""
"","Burgos","14,291.05","374,970","371,248","26.24","20.65",""
"","Cáceres","19,868.22","413,597","410,275","20.82","166.56",""
"","Cádiz","7,435.88","1,245,164","1,238,492","167.45","111.23",""
"","Cantabria","5,321.34","593,861","591,888","111.6","90.73",""
"","Castellón","6,631.85","604,564","601,699","91.16","26.5",""
"","Ciudad Real","19,813.23","530,250","524,962","26.76","58.27",""
"","Córdoba","13,771.31","804,498","802,422","58.42","143.16",""
"","Coruña","7,950.38","1,143,911","1,138,161","143.88","12.36",""
"","Cuenca","17,141.13","218,036","211,899","12.72","128.87",""
"","Girona","5,909.88","761,627","761,632","128.87","72.69",""
"","Granada","12,646.98","922,928","919,319","72.98","21.1",""
"","Guadalajara","12,212.09","259,537","257,723","21.25","360.45",""
"","Guipúzcoa","1,980.35","712,097","713,818","359.58","51.41",""
"","Huelva","10,128.01","522,862","520,668","51.63","14.47",""
"","Huesca","15,636.15","227,609","226,329","14.56","49.27",""
"","Jaén","13,496.09","670,242","664,916","49.66","31.43",""
"","León","15,581.81","494,451","489,752","31.73","36.29",""
"","Lleida","12,149.62","443,032","440,915","36.46","35.1",""
"","Lugo","9,856.55","348,902","346,005","35.4","809.14",""
"","Madrid","8,027.69","6,498,560","6,495,551","809.52","226.18",""
"","Málaga","7,308.46","1,641,098","1,652,999","224.55","130.11",""
"","Murcia","11,313.91","1,474,449","1,472,049","130.32","62.03",""
"","Navarra","10,390.36","644,566","644,477","62.04","44.92",""
"","Ourense","7,273.12","330,257","326,724","45.41","20.98",""
"","Palencia","8,052.51","170,713","168,955","21.2","271.5",""
"","Palmas (Las)","4,065.78","1,100,813","1,103,850","270.75","212.49",""
"","Pontevedra","4,494.64","958,428","955,050","213.24","63.83",""
"","Rioja (La)","5,045.25","323,609","322,027","64.14","27.98",""
"","Salamanca","12,349.95","350,564","345,548","28.39","300.14",""
"","Santa Cruz de Tenerife","3,381.17","1,017,531","1,014,829","300.94","23.36",""
"","Segovia","6,922.75","163,701","161,702","23.65","138.37",""
"","Sevilla","14,036.09","1,938,974","1,942,155","138.14","9.05",""
"","Soria","10,307.17","94,522","93,291","9.17","128.54",""
"","Tarragona","6,302.86","814,199","810,178","129.18","9.6",""
"","Teruel","14,809.57","143,728","142,183","9.71","45.96",""
"","Toledo","15,369.69","711,228","706,407","46.27","237.5",""
"","Valencia","10,806.09","2,580,792","2,566,474","238.83","65.63",""
"","Valladolid","8,110.49","534,280","532,284","65.88","521.56",""
"","Vizcaya","2,217.28","1,158,439","1,156,447","522.46","17.83",""
"","Zamora","10,561.26","191,612","188,270","18.14","56.65",""
"","Zaragoza","17,274.53","978,130","978,638","56.62","4,321.36",""
"","Ceuta","19.48","84,018","84,180","4,313.04","6,240.04",""
"","Melilla","13.41","80,802","83,679","6,025.50","92.42",""
